Name,Team,Number,Position,Age,Height,Weight,College,Salary,random_date
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,5-11,175.0,Miami (FL),1500000.0,2014-07-25 19:22:42.800875272
Brook Lopez,Brooklyn Nets,11.0,C,28.0,7-0,275.0,Stanford,19689000.0,2014-08-02 19:10:06.564551422
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,6-11,200.0,Syracuse,1140240.0,2014-08-10 18:57:30.328227570
Willie Reed,Brooklyn Nets,33.0,PF,26.0,6-10,220.0,Saint Louis,947276.0,2014-08-18 18:44:54.091903718
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,6-10,237.0,Kansas,981348.0,2014-08-26 18:32:17.855579868
Henry Sims,Brooklyn Nets,14.0,C,26.0,6-10,248.0,Georgetown,947276.0,2014-09-03 18:19:41.619256016
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,6-3,205.0,Texas A&M,947276.0,2014-09-11 18:07:05.382932164
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,6-8,221.0,Georgia Tech,11235955.0,2014-09-19 17:54:29.146608312
Arron Afflalo,New York Knicks,4.0,SG,30.0,6-5,210.0,UCLA,8000000.0,2014-09-27 17:41:52.910284464
Lou Amundson,New York Knicks,17.0,PF,33.0,6-9,220.0,UNLV,1635476.0,2014-10-05 17:29:16.673960612
Thanasis Antetokounmpo,New York Knicks,43.0,SF,23.0,6-7,205.0,,30888.0,2014-10-13 17:16:40.437636760
Carmelo Anthony,New York Knicks,7.0,SF,32.0,6-8,240.0,Syracuse,22875000.0,2014-10-21 17:04:04.201312908
Jose Calderon,New York Knicks,3.0,PG,34.0,6-3,200.0,,7402812.0,2014-10-29 16:51:27.964989056
Cleanthony Early,New York Knicks,11.0,SF,25.0,6-8,210.0,Wichita State,845059.0,2014-11-06 16:38:51.728665208
Langston Galloway,New York Knicks,2.0,SG,24.0,6-2,200.0,Saint Joseph's,845059.0,2014-11-14 16:26:15.492341356
Jerian Grant,New York Knicks,13.0,PG,23.0,6-4,195.0,Notre Dame,1572360.0,2014-11-22 16:13:39.256017504
Robin Lopez,New York Knicks,8.0,C,28.0,7-0,255.0,Stanford,12650000.0,2014-11-30 16:01:03.019693652
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,6-10,250.0,Norfolk State,3750000.0,2014-12-08 15:48:26.783369800
Kristaps Porzingis,New York Knicks,6.0,PF,20.0,7-3,240.0,,4131720.0,2014-12-16 15:35:50.547045952
Kevin Seraphin,New York Knicks,1.0,C,26.0,6-10,278.0,,2814000.0,2014-12-24 15:23:14.310722100
Lance Thomas,New York Knicks,42.0,SF,28.0,6-8,235.0,Duke,1636842.0,2015-01-01 15:10:38.074398248
Sasha Vujacic,New York Knicks,18.0,SG,32.0,6-7,195.0,,947276.0,2015-01-09 14:58:01.838074396
Derrick Williams,New York Knicks,23.0,PF,25.0,6-8,240.0,Arizona,4000000.0,2015-01-17 14:45:25.601750544
Tony Wroten,New York Knicks,5.0,SG,23.0,6-6,205.0,Washington,167406.0,2015-01-25 14:32:49.365426692
Elton Brand,Philadelphia 76ers,42.0,PF,37.0,6-9,254.0,Duke,,2015-02-02 14:20:13.129102844
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,6-0,201.0,Murray State,947276.0,2015-02-10 14:07:36.892778992
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,6-9,215.0,Tennessee State,1000000.0,2015-02-18 13:55:00.656455140
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,7-0,250.0,Kansas,4626960.0,2015-02-26 13:42:24.420131288
Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,6-8,210.0,Syracuse,845059.0,2015-03-06 13:29:48.183807436
Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,6-10,245.0,Bowling Green,1074169.0,2015-03-14 13:17:11.947483588
Carl Landry,Philadelphia 76ers,7.0,PF,32.0,6-9,248.0,Purdue,6500000.0,2015-03-22 13:04:35.711159736
Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,6-4,200.0,North Carolina,2144772.0,2015-03-30 12:51:59.474835880
T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,6-2,200.0,Arizona,525093.0,2015-04-07 12:39:23.238512032
Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,6-11,228.0,Kentucky,3457800.0,2015-04-15 12:26:47.002188184
Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,6-11,275.0,Duke,4582680.0,2015-04-23 12:14:10.765864328
Ish Smith,Philadelphia 76ers,1.0,PG,27.0,6-0,175.0,Wake Forest,947276.0,2015-05-01 12:01:34.529540480
Nik Stauskas,Philadelphia 76ers,11.0,SG,22.0,6-6,205.0,Michigan,2869440.0,2015-05-09 11:48:58.293216624
Hollis Thompson,Philadelphia 76ers,31.0,SG,25.0,6-8,206.0,Georgetown,947276.0,2015-05-17 11:36:22.056892776
Christian Wood,Philadelphia 76ers,35.0,PF,20.0,6-11,220.0,UNLV,525093.0,2015-05-25 11:23:45.820568928
Bismack Biyombo,Toronto Raptors,8.0,C,23.0,6-9,245.0,,2814000.0,2015-06-02 11:11:09.584245072
Bruno Caboclo,Toronto Raptors,20.0,SF,20.0,6-9,205.0,,1524000.0,2015-06-10 10:58:33.347921224
DeMarre Carroll,Toronto Raptors,5.0,SF,29.0,6-8,212.0,Missouri,13600000.0,2015-06-18 10:45:57.111597368
DeMar DeRozan,Toronto Raptors,10.0,SG,26.0,6-7,220.0,USC,10050000.0,2015-06-26 10:33:20.875273520
James Johnson,Toronto Raptors,3.0,PF,29.0,6-9,250.0,Wake Forest,2500000.0,2015-07-04 10:20:44.638949672
Cory Joseph,Toronto Raptors,6.0,PG,24.0,6-3,190.0,Texas,7000000.0,2015-07-12 10:08:08.402625816
Kyle Lowry,Toronto Raptors,7.0,PG,30.0,6-0,205.0,Villanova,12000000.0,2015-07-20 09:55:32.166301968
Lucas Nogueira,Toronto Raptors,92.0,C,23.0,7-0,220.0,,1842000.0,2015-07-28 09:42:55.929978112
Patrick Patterson,Toronto Raptors,54.0,PF,27.0,6-9,235.0,Kentucky,6268675.0,2015-08-05 09:30:19.693654264
Norman Powell,Toronto Raptors,24.0,SG,23.0,6-4,215.0,UCLA,650000.0,2015-08-13 09:17:43.457330416
Terrence Ross,Toronto Raptors,31.0,SF,25.0,6-7,195.0,Washington,3553917.0,2015-08-21 09:05:07.221006560
Luis Scola,Toronto Raptors,4.0,PF,36.0,6-9,240.0,,2900000.0,2015-08-29 08:52:30.984682712
Jason Thompson,Toronto Raptors,1.0,PF,29.0,6-11,250.0,Rider,245177.0,2015-09-06 08:39:54.748358856
Jonas Valanciunas,Toronto Raptors,17.0,C,24.0,7-0,255.0,,4660482.0,2015-09-14 08:27:18.512035008
Delon Wright,Toronto Raptors,55.0,PG,24.0,6-5,190.0,Utah,1509360.0,2015-09-22 08:14:42.275711160
Leandro Barbosa,Golden State Warriors,19.0,SG,33.0,6-3,194.0,,2500000.0,2015-09-30 08:02:06.039387304
Harrison Barnes,Golden State Warriors,40.0,SF,24.0,6-8,225.0,North Carolina,3873398.0,2015-10-08 07:49:29.803063456
Andrew Bogut,Golden State Warriors,12.0,C,31.0,7-0,260.0,Utah,13800000.0,2015-10-16 07:36:53.566739600
Ian Clark,Golden State Warriors,21.0,SG,25.0,6-3,175.0,Belmont,947276.0,2015-10-24 07:24:17.330415752
Stephen Curry,Golden State Warriors,30.0,PG,28.0,6-3,190.0,Davidson,11370786.0,2015-11-01 07:11:41.094091904
Festus Ezeli,Golden State Warriors,31.0,C,26.0,6-11,265.0,Vanderbilt,2008748.0,2015-11-09 06:59:04.857768048
Draymond Green,Golden State Warriors,23.0,PF,26.0,6-7,230.0,Michigan State,14260870.0,2015-11-17 06:46:28.621444200
Andre Iguodala,Golden State Warriors,9.0,SF,32.0,6-6,215.0,Arizona,11710456.0,2015-11-25 06:33:52.385120344
Shaun Livingston,Golden State Warriors,34.0,PG,30.0,6-7,192.0,,5543725.0,2015-12-03 06:21:16.148796496
Kevon Looney,Golden State Warriors,36.0,SF,20.0,6-9,220.0,UCLA,1131960.0,2015-12-11 06:08:39.912472640
James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,6-9,240.0,North Carolina,845059.0,2015-12-19 05:56:03.676148792
Brandon Rush,Golden State Warriors,4.0,SF,30.0,6-6,220.0,Kansas,1270964.0,2015-12-27 05:43:27.439824944
Marreese Speights,Golden State Warriors,5.0,C,28.0,6-10,255.0,Florida,3815000.0,2016-01-04 05:30:51.203501088
Klay Thompson,Golden State Warriors,11.0,SG,26.0,6-7,215.0,Washington State,15501000.0,2016-01-12 05:18:14.967177240
Anderson Varejao,Golden State Warriors,18.0,PF,33.0,6-11,273.0,,289755.0,2016-01-20 05:05:38.730853384
Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,6-11,250.0,Kansas,1100602.0,2016-01-28 04:53:02.494529536
Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,6-9,250.0,Arizona State,111444.0,2016-02-05 04:40:26.258205688
Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,6-5,195.0,Michigan,5675000.0,2016-02-13 04:27:50.021881832
Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,6-6,225.0,Michigan State,525093.0,2016-02-21 04:15:13.785557984
Jeff Green,Los Angeles Clippers,8.0,SF,29.0,6-9,235.0,Georgetown,9650000.0,2016-02-29 04:02:37.549234128
Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,6-10,251.0,Oklahoma,18907726.0,2016-03-08 03:50:01.312910280
Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,6-7,215.0,Syracuse,1100602.0,2016-03-16 03:37:25.076586432
DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,6-11,265.0,Texas A&M,19689000.0,2016-03-24 03:24:48.840262576
Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,6-8,230.0,UCLA,947276.0,2016-04-01 03:12:12.603938728
Chris Paul,Los Angeles Clippers,3.0,PG,31.0,6-0,175.0,Wake Forest,21468695.0,2016-04-09 02:59:36.367614872
Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,6-7,235.0,Kansas,3376000.0,2016-04-17 02:47:00.131291024
Pablo Prigioni,Los Angeles Clippers,9.0,PG,39.0,6-3,185.0,,947726.0,2016-04-25 02:34:23.894967176
JJ Redick,Los Angeles Clippers,4.0,SG,31.0,6-4,190.0,Duke,7085000.0,2016-05-03 02:21:47.658643320
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,6-4,200.0,Duke,3110796.0,2016-05-11 02:09:11.422319472
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,6-5,195.0,Washington,1159680.0,2016-05-19 01:56:35.185995616
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,6-8,250.0,LSU,3000000.0,2016-05-27 01:43:58.949671760
Tarik Black,Los Angeles Lakers,28.0,C,24.0,6-9,250.0,Kansas,845059.0,2016-06-04 01:31:22.713347920
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,6-7,210.0,Stanford,700000.0,2016-06-12 01:18:46.477024064
Kobe Bryant,Los Angeles Lakers,24.0,SF,37.0,6-6,212.0,,25000000.0,2016-06-20 01:06:10.240700208
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,6-5,194.0,Missouri,845059.0,2016-06-28 00:53:34.004376368
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,7-2,270.0,Georgetown,15592217.0,2016-07-06 00:40:57.768052512
Marcelo Huertas,Los Angeles Lakers,9.0,PG,33.0,6-3,200.0,,525093.0,2016-07-14 00:28:21.531728656
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,6-11,230.0,Duke,1724250.0,2016-07-22 00:15:45.295404816
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,6-9,230.0,Wyoming,1155600.0,2016-07-30 00:03:09.059080960
Julius Randle,Los Angeles Lakers,30.0,PF,21.0,6-9,250.0,Kentucky,3132240.0,2016-08-06 23:50:32.822757104
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,6-5,195.0,Ohio State,5103120.0,2016-08-14 23:37:56.586433248
Robert Sacre,Los Angeles Lakers,50.0,C,27.0,7-0,270.0,Gonzaga,981348.0,2016-08-22 23:25:20.350109408
Louis Williams,Los Angeles Lakers,23.0,SG,29.0,6-1,175.0,,7000000.0,2016-08-30 23:12:44.113785552
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,6-7,260.0,St. John's,947276.0,2016-09-07 23:00:07.877461696
Nick Young,Los Angeles Lakers,0.0,SF,31.0,6-7,210.0,USC,5219169.0,2016-09-15 22:47:31.641137856
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,6-1,190.0,Kentucky,13500000.0,2016-09-23 22:34:55.404814000
Devin Booker,Phoenix Suns,1.0,SG,19.0,6-6,206.0,Kentucky,2127840.0,2016-10-01 22:22:19.168490144
Chase Budinger,Phoenix Suns,10.0,SF,28.0,6-7,209.0,Arizona,206192.0,2016-10-09 22:09:42.932166304
Tyson Chandler,Phoenix Suns,4.0,C,33.0,7-1,240.0,,13000000.0,2016-10-17 21:57:06.695842448
Archie Goodwin,Phoenix Suns,20.0,SG,21.0,6-5,200.0,Kentucky,1160160.0,2016-10-25 21:44:30.459518592
John Jenkins,Phoenix Suns,23.0,SG,25.0,6-4,215.0,Vanderbilt,981348.0,2016-11-02 21:31:54.223194736
Brandon Knight,Phoenix Suns,3.0,PG,24.0,6-3,189.0,Kentucky,13500000.0,2016-11-10 21:19:17.986870896
Alex Len,Phoenix Suns,21.0,C,22.0,7-1,260.0,Maryland,3807120.0,2016-11-18 21:06:41.750547040
Jon Leuer,Phoenix Suns,30.0,PF,27.0,6-10,228.0,Wisconsin,1035000.0,2016-11-26 20:54:05.514223184
Phil Pressey,Phoenix Suns,25.0,PG,25.0,5-11,175.0,Missouri,55722.0,2016-12-04 20:41:29.277899344
Ronnie Price,Phoenix Suns,14.0,PG,32.0,6-2,190.0,Utah Valley,947276.0,2016-12-12 20:28:53.041575488
Mirza Teletovic,Phoenix Suns,35.0,PF,30.0,6-9,242.0,,5500000.0,2016-12-20 20:16:16.805251632
P.J. Tucker,Phoenix Suns,17.0,SF,31.0,6-6,245.0,Texas,5500000.0,2016-12-28 20:03:40.568927776
T.J. Warren,Phoenix Suns,12.0,SF,22.0,6-8,230.0,North Carolina State,2041080.0,2017-01-05 19:51:04.332603936
Alan Williams,Phoenix Suns,15.0,C,23.0,6-8,260.0,UC Santa Barbara,83397.0,2017-01-13 19:38:28.096280080
Quincy Acy,Sacramento Kings,13.0,SF,25.0,6-7,240.0,Baylor,981348.0,2017-01-21 19:25:51.859956224
James Anderson,Sacramento Kings,5.0,SG,27.0,6-6,213.0,Oklahoma State,1015421.0,2017-01-29 19:13:15.623632384
Marco Belinelli,Sacramento Kings,3.0,SG,30.0,6-5,210.0,,6060606.0,2017-02-06 19:00:39.387308528
Caron Butler,Sacramento Kings,31.0,SF,36.0,6-7,228.0,Connecticut,1449187.0,2017-02-14 18:48:03.150984672
Omri Casspi,Sacramento Kings,18.0,SF,27.0,6-9,225.0,,2836186.0,2017-02-22 18:35:26.914660832
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,7-0,240.0,Kentucky,3398280.0,2017-03-02 18:22:50.678336976
Darren Collison,Sacramento Kings,7.0,PG,28.0,6-0,175.0,UCLA,5013559.0,2017-03-10 18:10:14.442013120
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,6-11,270.0,Kentucky,15851950.0,2017-03-18 17:57:38.205689264
Seth Curry,Sacramento Kings,30.0,SG,25.0,6-2,185.0,Duke,947276.0,2017-03-26 17:45:01.969365424
Duje Dukan,Sacramento Kings,26.0,PF,24.0,6-9,220.0,Wisconsin,525093.0,2017-04-03 17:32:25.733041568
Rudy Gay,Sacramento Kings,8.0,SF,29.0,6-8,230.0,Connecticut,12403101.0,2017-04-11 17:19:49.496717712
Kosta Koufos,Sacramento Kings,41.0,C,27.0,7-0,265.0,Ohio State,7700000.0,2017-04-19 17:07:13.260393872
Ben McLemore,Sacramento Kings,23.0,SG,23.0,6-5,195.0,Kansas,3156600.0,2017-04-27 16:54:37.024070016
Eric Moreland,Sacramento Kings,25.0,PF,24.0,6-10,238.0,Oregon State,845059.0,2017-05-05 16:42:00.787746160
Rajon Rondo,Sacramento Kings,9.0,PG,30.0,6-1,186.0,Kentucky,9500000.0,2017-05-13 16:29:24.551422320
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,6-9,250.0,New Mexico,845059.0,2017-05-21 16:16:48.315098464
Aaron Brooks,Chicago Bulls,0.0,PG,31.0,6-0,161.0,Oregon,2250000.0,2017-05-29 16:04:12.078774608
Jimmy Butler,Chicago Bulls,21.0,SG,26.0,6-7,220.0,Marquette,16407500.0,2017-06-06 15:51:35.842450752
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,6-9,230.0,Duke,4500000.0,2017-06-14 15:38:59.606126912
Cristiano Felicio,Chicago Bulls,6.0,PF,23.0,6-10,275.0,,525093.0,2017-06-22 15:26:23.369803056
Pau Gasol,Chicago Bulls,16.0,C,35.0,7-0,250.0,,7448760.0,2017-06-30 15:13:47.133479200
Taj Gibson,Chicago Bulls,22.0,PF,30.0,6-9,225.0,USC,8500000.0,2017-07-08 15:01:10.897155360
Justin Holiday,Chicago Bulls,7.0,SG,27.0,6-6,185.0,Washington,947276.0,2017-07-16 14:48:34.660831504
Doug McDermott,Chicago Bulls,3.0,SF,24.0,6-8,225.0,Creighton,2380440.0,2017-07-24 14:35:58.424507648
Nikola Mirotic,Chicago Bulls,44.0,PF,25.0,6-10,220.0,,5543725.0,2017-08-01 14:23:22.188183808
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,6-4,191.0,Purdue,1015421.0,2017-08-09 14:10:45.951859952
Joakim Noah,Chicago Bulls,13.0,C,31.0,6-11,232.0,Florida,13400000.0,2017-08-17 13:58:09.715536096
Bobby Portis,Chicago Bulls,5.0,PF,21.0,6-11,230.0,Arkansas,1391160.0,2017-08-25 13:45:33.479212240
Derrick Rose,Chicago Bulls,1.0,PG,27.0,6-3,190.0,Memphis,20093064.0,2017-09-02 13:32:57.242888400
Tony Snell,Chicago Bulls,20.0,SF,24.0,6-7,200.0,New Mexico,1535880.0,2017-09-10 13:20:21.006564544
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,6-4,198.0,Saint Mary's,1147276.0,2017-09-18 13:07:44.770240688
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,6-11,255.0,Arizona,8193029.0,2017-09-26 12:55:08.533916848
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,6-3,193.0,Duke,16407501.0,2017-10-04 12:42:32.297592992
LeBron James,Cleveland Cavaliers,23.0,SF,31.0,6-8,250.0,,22970500.0,2017-10-12 12:29:56.061269136
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,6-7,233.0,Arizona,947276.0,2017-10-20 12:17:19.824945280
Dahntay Jones,Cleveland Cavaliers,30.0,SG,35.0,6-6,225.0,Duke,,2017-10-28 12:04:43.588621440
James Jones,Cleveland Cavaliers,1.0,SG,35.0,6-8,218.0,Miami (FL),947276.0,2017-11-05 11:52:07.352297584
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,6-11,260.0,Kansas,1276000.0,2017-11-13 11:39:31.115973728
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,6-10,251.0,UCLA,19689000.0,2017-11-21 11:26:54.879649888
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,6-5,179.0,Tennessee,111196.0,2017-11-29 11:14:18.643326032
Timofey Mozgov,Cleveland Cavaliers,20.0,C,29.0,7-1,275.0,,4950000.0,2017-12-07 11:01:42.407002176
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,6-5,220.0,Georgia Tech,8988765.0,2017-12-15 10:49:06.170678336
J.R. Smith,Cleveland Cavaliers,5.0,SG,30.0,6-6,225.0,,5000000.0,2017-12-23 10:36:29.934354480
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,6-9,238.0,Texas,14260870.0,2017-12-31 10:23:53.698030624
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,6-1,198.0,Alabama,2100000.0,2018-01-08 10:11:17.461706768
Joel Anthony,Detroit Pistons,50.0,C,33.0,6-9,245.0,UNLV,2500000.0,2018-01-16 09:58:41.225382928
Aron Baynes,Detroit Pistons,12.0,C,29.0,6-10,260.0,Washington State,6500000.0,2018-01-24 09:46:04.989059072
Steve Blake,Detroit Pistons,22.0,PG,36.0,6-3,172.0,Maryland,2170465.0,2018-02-01 09:33:28.752735216
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,6-5,189.0,North Carolina State,111444.0,2018-02-09 09:20:52.516411376
Reggie Bullock,Detroit Pistons,25.0,SF,25.0,6-7,205.0,North Carolina,1252440.0,2018-02-17 09:08:16.280087520
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,6-5,205.0,Georgia,2891760.0,2018-02-25 08:55:40.043763664
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,6-6,200.0,Colorado,845059.0,2018-03-05 08:43:03.807439824
Andre Drummond,Detroit Pistons,0.0,C,22.0,6-11,279.0,Connecticut,3272091.0,2018-03-13 08:30:27.571115968
Tobias Harris,Detroit Pistons,34.0,SF,23.0,6-9,235.0,Tennessee,16000000.0,2018-03-21 08:17:51.334792112
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,6-6,205.0,Villanova,600000.0,2018-03-29 08:05:15.098468256
Reggie Jackson,Detroit Pistons,1.0,PG,26.0,6-3,208.0,Boston College,13913044.0,2018-04-06 07:52:38.862144416
Stanley Johnson,Detroit Pistons,3.0,SF,20.0,6-7,245.0,Arizona,2841960.0,2018-04-14 07:40:02.625820560
Jodie Meeks,Detroit Pistons,20.0,SG,28.0,6-4,210.0,Kentucky,6270000.0,2018-04-22 07:27:26.389496704
Marcus Morris,Detroit Pistons,13.0,PF,26.0,6-9,235.0,Kansas,5000000.0,2018-04-30 07:14:50.153172864
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,6-8,240.0,Creighton,3000000.0,2018-05-08 07:02:13.916849008
Lavoy Allen,Indiana Pacers,5.0,PF,27.0,6-9,255.0,Temple,4050000.0,2018-05-16 06:49:37.680525152
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,6-9,250.0,Syracuse,1007026.0,2018-05-24 06:37:01.444201296
Monta Ellis,Indiana Pacers,11.0,SG,30.0,6-3,185.0,,10300000.0,2018-06-01 06:24:25.207877456
Paul George,Indiana Pacers,13.0,SF,26.0,6-9,220.0,Fresno State,17120106.0,2018-06-09 06:11:48.971553600
George Hill,Indiana Pacers,3.0,PG,30.0,6-3,188.0,IUPUI,8000000.0,2018-06-17 05:59:12.735229744
Jordan Hill,Indiana Pacers,27.0,C,28.0,6-10,235.0,Arizona,4000000.0,2018-06-25 05:46:36.498905904
Solomon Hill,Indiana Pacers,44.0,SF,25.0,6-7,225.0,Arizona,1358880.0,2018-07-03 05:34:00.262582048
Ty Lawson,Indiana Pacers,10.0,PG,28.0,5-11,195.0,North Carolina,211744.0,2018-07-11 05:21:24.026258192
Ian Mahinmi,Indiana Pacers,28.0,C,29.0,6-11,250.0,,4000000.0,2018-07-19 05:08:47.789934352
C.J. Miles,Indiana Pacers,0.0,SF,29.0,6-6,231.0,,4394225.0,2018-07-27 04:56:11.553610496
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,6-7,222.0,Michigan,1100000.0,2018-08-04 04:43:35.317286640
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,6-5,205.0,Eastern Washington,7000000.0,2018-08-12 04:30:59.080962784
Myles Turner,Indiana Pacers,33.0,PF,20.0,6-11,243.0,Texas,2357760.0,2018-08-20 04:18:22.844638944
Shayne Whittington,Indiana Pacers,42.0,PF,25.0,6-11,250.0,Western Michigan,845059.0,2018-08-28 04:05:46.608315104
Joe Young,Indiana Pacers,1.0,PG,23.0,6-2,180.0,Oregon,1007026.0,2018-09-05 03:53:10.371991232
Giannis Antetokounmpo,Milwaukee Bucks,34.0,SF,21.0,6-11,222.0,,1953960.0,2018-09-13 03:40:34.135667392
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,6-3,200.0,Arizona,3000000.0,2018-09-21 03:27:57.899343520
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,6-6,190.0,Syracuse,2399040.0,2018-09-29 03:15:21.663019680
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,6-4,195.0,Oregon State,947276.0,2018-10-07 03:02:45.426695840
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,6-3,194.0,Syracuse,1662360.0,2018-10-15 02:50:09.190371968
